================================================================================
Model: M1
Layer: 46
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  很容易                           -0.1892
    2    128  Pap                           -0.1842
    3    128  资产阶级                          +0.1794
    4    128  有些不                           -0.1753
    5    128  哀                             +0.1756
    6    128  Lind                          +0.1750
    7    128  Fry                           -0.1675
    8    128  Pap                           -0.1659
    9    128  الص                           +0.1668
   10    128  Parker                        -0.1681
   11    128  的有                            +0.1629
   12    128  很好                            -0.1699
   13    128  pard                          +0.1672
   14    128  电视                            -0.1623
   15    128  _CO                           -0.1591
   16    128  清偿                            +0.1595
   17    128  琦                             -0.1581
   18    128  Info                          +0.1579
   19    128  下沉                            +0.1572
   20    128  琪                             +0.1555
   21    128  课件                            -0.1552
   22    128  might                         +0.1557
   23    128  Lit                           -0.1546
   24    128  economical                    +0.1540
   25    128  aming                         -0.1533
   26    128  Pro                           +0.1501
   27    128  Fos                           +0.1495
   28    128  很难                            -0.1495
   29    128  uchy                          +0.1496
   30    128  �                             -0.1508
   31    128  粉末                            +0.1511
   32    128  东海                            -0.1528
   33    128  cancellation                  -0.1475
   34    128  Strings                       +0.1510
   35    128  Dictionary                    -0.1488
   36    128  乘                             +0.1478
   37    128  无疑是                           -0.1484
   38    128  consumption                   -0.1467
   39    128  Logger                        +0.1501
   40    128  Norman                        +0.1471
   41    128  ivot                          -0.1468
   42    128  domin                         -0.1456
   43    128  廉                             -0.1486
   44    128  Rap                           +0.1450
   45    128  posing                        +0.1453
   46    128  にお                            -0.1461
   47    128  ستر                           -0.1458
   48    128  规划                            -0.1449
   49    128  ük                            -0.1446
   50    128  Plus                          -0.1437
   51    128  本人的                           +0.1452
   52    128  Ray                           -0.1446
   53    128  很高                            +0.1462
   54    128  Kiss                          -0.1441
   55    128  分辨                            +0.1428
   56    128  ("./                          +0.1464
   57    128  ]                             +0.1428
   58    128  significance                  -0.1437
   59    128  punch                         -0.1432
   60    128  txt                           -0.1432
