================================================================================
Model: M1
Layer: 19
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.497, 1.728, 1.083]
Frob: 3.98
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ensit                         +0.3671     -0.1213     +0.0600
    2  竹林                            +0.3633     -0.1270     -0.1206
    3  sergeant                      -0.3605     +0.0355     +0.0320
    4  魁                             -0.3570     +0.0189     +0.1331
    5  -dr                           -0.3528     +0.1085     +0.0740
    6  anonymous                     -0.3498     -0.0061     -0.1033
    7  anon                          -0.3487     -0.0329     +0.0740
    8  singly                        +0.3466     +0.0721     +0.0831
    9  缔                             -0.3445     -0.1102     +0.0250
   10  private                       -0.3445     -0.0125     +0.0595
   11  neur                          +0.3345     +0.0020     +0.0142
   12  veu                           +0.3337     -0.0542     -0.0678
   13  drunk                         -0.3323     +0.1757     -0.0075
   14  nonzero                       +0.3308     -0.0635     +0.0188
   15  til                           -0.3295     -0.1238     -0.0958
   16  tard                          -0.3294     +0.1445     +0.0395
   17  -private                      -0.3280     +0.0646     +0.0441
   18  主持人                           -0.3271     +0.0648     +0.1502
   19  为了保护                          -0.3265     +0.1542     -0.0912
   20  comprehensively               +0.3263     +0.1361     +0.0636
   21  .compare                      +0.3250     +0.0342     +0.0715
   22  cast                          +0.3245     +0.0583     -0.1364
   23  辜                             -0.3244     -0.1498     -0.0121
   24  private                       -0.3197     -0.0144     +0.0499
   25  casts                         +0.3182     +0.0924     -0.1203
   26  保护好                           -0.3182     -0.0359     +0.0395
   27  lest                          +0.3143     -0.0158     +0.1885
   28  Yeh                           +0.3138     -0.0278     +0.0255
   29  伏                             -0.3120     -0.1181     +0.1285
   30  �                             -0.3115     -0.0891     -0.0433
