================================================================================
Model: M1
Layer: 49
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  阳光                            +0.1895
    2    128  Chicago                       -0.1783
    3    128  Bou                           -0.1776
    4    128  }^{(                          +0.1924
    5    128  沸                             +0.1769
    6    128  平分                            -0.1747
    7    128  XML                           -0.1844
    8    128  {\                            +0.1829
    9    128  iko                           +0.1735
   10    128  MO                            -0.1757
   11    128  对照                            +0.1694
   12    128  Ref                           +0.1727
   13    128  OBJECT                        +0.1649
   14    128  balls                         +0.1640
   15    128  -ho                           -0.1648
   16    128  ro                            -0.1636
   17    128  602                           +0.1659
   18    128  sim                           -0.1596
   19    128  .Abstract                     +0.1630
   20    128  bos                           -0.1602
   21    128  歴史                            -0.1592
   22    128  everybody                     +0.1619
   23    128  pure                          +0.1894
   24    128  喷                             +0.1595
   25    128  hollow                        +0.1566
   26    128  San                           -0.1578
   27    128  aqu                           -0.1582
   28    128  尤其是                           +0.1565
   29    128  inc                           +0.1572
   30    128  Chris                         +0.1563
   31    128  team                          +0.1567
   32    128  fos                           +0.1561
   33    128  sweet                         -0.1545
   34    128  707                           -0.1551
   35    128  Ba                            +0.1757
   36    128  tre                           +0.1557
   37    128  Eastern                       +0.1543
   38    128  mano                          -0.1539
   39    128  originates                    +0.1521
   40    128  بات                           +0.1572
   41    128  智能化                           +0.1541
   42    128  twin                          -0.1538
   43    128  财政部门                          +0.1509
   44    128  Free                          -0.1500
   45    128  386                           -0.1571
   46    128  646                           -0.1522
   47    128  NW                            +0.1488
   48    128  Bal                           +0.1525
   49    128  �                             -0.1476
   50    128  Api                           -0.1458
   51    127  pal                           +0.1635
   52    127  arch                          -0.1515
   53    127  SIN                           +0.1542
   54    127  Chris                         +0.1542
   55    127  elongated                     -0.1534
   56    127  dia                           +0.1524
   57    127  785                           -0.1547
   58    127  噴                             +0.1507
   59    127  之学                            +0.1508
   60    127  抱怨                            +0.1561
