================================================================================
Model: M1
Layer: 35
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.338, 1.494, 1.155]
Frob: 4.75
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  进行调整                          -0.3820     +0.2060     +0.0840
    2  sangu                         -0.3730     -0.0663     -0.0347
    3  positional                    +0.3730     -0.1261     +0.0516
    4  akos                          -0.3665     -0.0222     -0.0093
    5  mess                          +0.3476     -0.1359     +0.0800
    6  nest                          +0.3395     +0.0460     -0.0445
    7  的特殊                           +0.3392     +0.0411     -0.0089
    8  izi                           -0.3372     -0.0926     -0.0042
    9  aita                          -0.3359     +0.0014     -0.0560
   10  complication                  +0.3357     -0.1610     -0.1527
   11  Mess                          +0.3356     -0.0966     +0.0526
   12  stacked                       +0.3318     -0.1497     +0.1700
   13  Kast                          +0.3307     -0.0156     -0.0120
   14  承                             +0.3279     -0.0259     -0.0085
   15  complicate                    +0.3275     +0.0190     -0.0582
   16  clot                          -0.3269     -0.0027     +0.0422
   17  貸                             -0.3268     -0.0844     +0.0361
   18  fruct                         -0.3267     +0.1955     -0.0126
   19  odal                          -0.3253     +0.0798     +0.0228
   20  egi                           -0.3249     -0.2361     +0.0998
   21  和其它                           +0.3234     -0.0380     -0.1674
   22  污                             +0.3217     -0.0269     -0.0413
   23  incidents                     -0.3217     +0.0246     -0.0677
   24  nest                          +0.3213     -0.1070     -0.0676
   25  Castell                       +0.3150     +0.1229     -0.1815
   26  complic                       +0.3123     -0.0372     -0.0596
   27  royalty                       +0.3118     +0.0715     -0.0786
   28  是由于                           +0.3116     +0.0498     -0.0538
   29  是一个人                          -0.3116     -0.2056     -0.0537
   30  umu                           -0.3102     +0.0465     -0.0512
