================================================================================
Model: M1
Layer: 7
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.342, 1.399, 0.676]
Frob: 4.13
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  交                             -0.3773     -0.0836     +0.0751
    2  Goss                          -0.3624     -0.0315     -0.0323
    3  sof                           +0.3624     -0.0232     +0.0470
    4  akar                          +0.3562     -0.1816     +0.1620
    5  刁                             -0.3494     -0.0240     +0.0702
    6  对角                            +0.3471     -0.0456     +0.0778
    7  ali                           +0.3377     +0.0769     +0.0735
    8  lion                          +0.3358     +0.0851     +0.0804
    9  署                             -0.3336     -0.1356     +0.0582
   10  践行                            +0.3321     -0.1192     +0.0976
   11  alid                          +0.3313     -0.0222     +0.0913
   12  幸存                            +0.3277     -0.1939     -0.1308
   13  kal                           +0.3272     -0.1045     +0.1194
   14  ogenesis                      +0.3266     -0.0367     -0.1046
   15  matern                        -0.3265     -0.0864     -0.0794
   16  edd                           -0.3240     -0.1063     -0.0477
   17  кра                           +0.3216     +0.1090     -0.0612
   18  raine                         +0.3210     +0.1509     -0.0513
   19  inp                           +0.3199     -0.0355     +0.0006
   20  急着                            -0.3197     +0.1531     -0.0108
   21  老妈                            -0.3180     -0.0481     +0.0525
   22  contested                     +0.3170     -0.0014     +0.0945
   23  ubin                          -0.3168     +0.0895     +0.0441
   24  越来越                           -0.3149     -0.0006     +0.0953
   25  �                             -0.3145     +0.0362     +0.0053
   26  MV                            -0.3143     -0.2130     +0.0116
   27  rette                         +0.3114     +0.0770     +0.0451
   28  �                             -0.3100     +0.2425     +0.0770
   29  ches                          +0.3097     +0.2292     +0.0448
   30  忙着                            -0.3088     +0.0404     +0.0183
