================================================================================
Model: M1
Layer: 8
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  Management                    -0.2179
    2    128  70                            +0.2097
    3    128  =-                            +0.2086
    4    128  Step                          +0.2087
    5    128  Text                          -0.2083
    6    128  Further                       +0.2057
    7    128  fundamental                   +0.2015
    8    128  30                            -0.1979
    9    128  _r                            -0.2000
   10    128  600                           -0.1982
   11    128  (-                            -0.1971
   12    128  Understanding                 +0.1938
   13    128  50                            +0.1906
   14    128  40                            -0.1910
   15    128  丁                             -0.1883
   16    128  Universe                      +0.1906
   17    128  Measurement                   +0.1855
   18    128  Much                          +0.1860
   19    128  ।                             +0.1869
   20    128  Mus                           -0.1868
   21    128  loader                        +0.1851
   22    128  ϵ                             +0.1844
   23    128  003                           -0.1817
   24    128  radius                        -0.1818
   25    128  \<                            +0.1800
   26    128  arcel                         +0.1790
   27    128  OO                            +0.1798
   28    128  conv                          -0.1773
   29    128  progress                      -0.1781
   30    128  quantum                       -0.1787
   31    128  中原                            -0.1782
   32    128  Fut                           -0.1763
   33    128  姜                             -0.1776
   34    128  Freedom                       +0.1750
   35    128  (false                        -0.1779
   36    128  507                           +0.1759
   37    128  Price                         -0.1765
   38    128  Pen                           -0.1764
   39    128  ก็                            +0.1749
   40    128  management                    +0.1760
   41    128  코                             -0.1732
   42    128  负                             -0.1739
   43    128  methodological                +0.1759
   44    128  Throughout                    +0.1726
   45    128  Prix                          +0.1720
   46    128  _co                           -0.1741
   47    128  cost                          -0.1719
   48    128  Marcel                        +0.1697
   49    128  .Entities                     +0.1723
   50    128  ija                           -0.1679
   51    128  youngsters                    -0.1677
   52    128  奶油                            -0.1705
   53    128  organisations                 -0.1668
   54    128  city                          -0.1676
   55    128  Ts                            -0.1663
   56    128  ....                          -0.1675
   57    128  Cost                          +0.1659
   58    128  _k                            -0.1671
   59    128  挺                             +0.1676
   60    128  Picker                        -0.1671
