================================================================================
Model: M2
Layer: 37
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.245, 0.975, 0.533]
Frob: 3.13
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  sublime                       -0.3749     +0.0414     +0.0873
    2  rupt                          -0.3328     -0.0099     -0.0197
    3  imilar                        -0.3302     +0.1132     -0.0945
    4  Pros                          +0.3261     -0.0349     +0.0355
    5  Football                      -0.3202     +0.0297     +0.1147
    6  claimed                       +0.3177     +0.0921     -0.0088
    7  先后                            +0.3173     -0.0052     -0.1110
    8  AtIndex                       -0.3170     +0.1229     -0.0201
    9  不是吗                           -0.3128     -0.1333     -0.0069
   10  enh                           -0.3114     +0.1777     -0.0750
   11  顷                             +0.3107     -0.1381     +0.0251
   12  vera                          +0.3105     -0.0252     +0.0651
   13  Rub                           -0.3052     +0.0489     +0.0500
   14  追溯到                           -0.3040     -0.0517     -0.0100
   15  pros                          +0.3007     -0.0125     +0.0449
   16  Shape                         -0.2995     -0.0270     +0.0799
   17  lette                         +0.2980     -0.0931     +0.1310
   18  Exper                         +0.2978     -0.0108     +0.0051
   19  晶晶                            -0.2972     +0.0766     +0.1785
   20  Aud                           -0.2940     -0.1004     -0.1238
   21  deng                          -0.2935     +0.1257     -0.0393
   22  茲                             -0.2933     -0.0187     +0.0705
   23  chief                         +0.2929     +0.0626     +0.1199
   24  邪恶                            -0.2924     +0.1185     +0.0156
   25  ↵                             +0.2887     -0.0377     -0.1184
   26  Awesome                       -0.2883     +0.0978     -0.0373
   27  士多                            +0.2881     +0.0236     +0.0329
   28  偶像                            -0.2876     +0.0391     +0.0139
   29  orks                          -0.2869     +0.1159     +0.0277
   30  exactly                       +0.2868     -0.1468     -0.0421
