================================================================================
Model: M1
Layer: 48
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  langle                        +0.1796
    2    128  .error                        -0.1793
    3    128  倒地                            -0.1692
    4    128  Hor                           -0.1696
    5    128  侵                             -0.1676
    6    128  clean                         +0.1669
    7    128  208                           +0.1721
    8    128  利润                            +0.1638
    9    128  Ys                            +0.1612
   10    128  完全没有                          +0.1608
   11    128  microorganisms                -0.1677
   12    128  ece                           -0.1577
   13    128  icorn                         +0.1586
   14    128  有什么                           -0.1555
   15    128  竞争力                           +0.1566
   16    128  Looking                       +0.1570
   17    128  碳                             +0.1603
   18    128  butter                        +0.1575
   19    128  mild                          -0.1530
   20    128  cid                           +0.1532
   21    128  倒也                            -0.1521
   22    128  YX                            -0.1537
   23    128  Expand                        -0.1503
   24    128  dif                           -0.1553
   25    128  ゴ                             -0.1504
   26    128  弋                             -0.1495
   27    128  不做                            -0.1474
   28    128  争议                            -0.1475
   29    128  相关                            -0.1622
   30    128  昆明                            +0.1470
   31    128  Buy                           -0.1660
   32    128  нен                           -0.1491
   33    128  _STATUS                       -0.1488
   34    128  一晚                            -0.1460
   35    128  强烈                            -0.1433
   36    128  高新技术                          -0.1431
   37    128  龄                             -0.1468
   38    128  ellig                         -0.1473
   39    128  proposal                      +0.1451
   40    128  への                            +0.1507
   41    128  单一                            +0.1459
   42    128  执法                            -0.1426
   43    128  -Pro                          -0.1407
   44    128  .output                       -0.1426
   45    128  激情                            -0.1492
   46    128  651                           -0.1404
   47    128  为你                            +0.1442
   48    128  _matrix                       +0.1419
   49    128  组成的                           -0.1414
   50    128  Tennessee                     +0.1381
   51    128  .mod                          -0.1423
   52    128  较低                            -0.1381
   53    128  architecture                  -0.1399
   54    128  減少                            +0.1386
   55    127  .format                       -0.1630
   56    127  YT                            -0.1559
   57    127  Xs                            +0.1449
   58    127  Chandler                      -0.1451
   59    127  .setOn                        -0.1471
   60    127  .handle                       -0.1444
