================================================================================
Model: M2
Layer: 56
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.796, 0.469, 0.310]
Frob: 3.34
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             -0.8233     -0.2685     -0.1688
    2  \(|                           +0.4267     -0.0433     -0.1526
    3  ->                            -0.4033     -0.5548     -0.6420
    4  )＝                            -0.4002     -0.0356     -0.0402
    5  short                         -0.3875     +0.1728     -0.1685
    6  ),↵                           -0.3871     +0.0910     -0.0286
    7  produced                      -0.3790     -0.1318     -0.1012
    8  logarithmic                   +0.3748     +0.0130     -0.1384
    9  equals                        -0.3746     +0.0806     +0.1839
   10  \((                           +0.3737     +0.0526     -0.0938
   11  ―                             -0.3671     +0.0852     +0.0718
   12  pattern                       -0.3581     +0.3283     +0.0023
   13  practise                      -0.3570     +0.1018     +0.1649
   14  Logarithm                     +0.3565     -0.0840     -0.0770
   15  )·                            -0.3565     +0.0084     +0.0160
   16  coming                        -0.3563     +0.1148     +0.1010
   17  �                             -0.3561     -0.3165     -0.0585
   18  convenient                    -0.3560     +0.0410     +0.1213
   19  exponent                      +0.3555     -0.0793     -0.1664
   20  pattern                       -0.3551     +0.2294     -0.0221
   21  许多                            -0.3538     +0.1202     -0.1521
   22  корот                         -0.3460     +0.1723     -0.1511
   23  many                          -0.3451     +0.2084     -0.0795
   24  肿                             +0.3421     +0.0577     +0.1702
   25  produce                       -0.3405     -0.0338     +0.0886
   26  一会儿                           -0.3385     -0.1163     +0.0802
   27  -cycle                        -0.3366     +0.0912     +0.0924
   28  )→                            -0.3365     -0.1801     -0.2074
   29  →                             -0.3327     -0.2826     -0.1669
   30  produces                      -0.3314     -0.0468     +0.0595
