================================================================================
Model: M2
Layer: 48
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.176, 0.390, 0.221]
Frob: 3.72
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             -0.7763     +0.4975     -0.1524
    2  �                             -0.5035     +0.2566     -0.0182
    3  ––                            -0.4583     +0.1569     -0.1227
    4  ―                             -0.4369     +0.1699     -0.0595
    5  )–                            -0.3876     +0.1440     -0.0167
    6  formerly                      -0.3875     -0.0986     -0.0076
    7  ‐                             -0.3758     +0.3824     -0.1597
    8  ->                            -0.3751     +0.6440     -0.2590
    9  涉及到                           +0.3733     -0.0722     +0.0442
   10  neighbourhood                 -0.3664     +0.0490     +0.0697
   11  \(\                           +0.3628     +0.0962     +0.0334
   12  —                             -0.3626     -0.0382     -0.0477
   13  ———                           -0.3626     +0.0320     +0.0423
   14  ‹                             -0.3624     +0.1700     +0.0709
   15  那块                            -0.3560     -0.2247     -0.1187
   16  -\(\                          +0.3557     +0.0330     -0.0284
   17  )＝                            -0.3520     +0.1709     +0.0167
   18  agy                           -0.3505     +0.1203     +0.0269
   19  那条                            -0.3481     -0.0594     -0.2136
   20  chief                         -0.3464     +0.0806     -0.1270
   21  .–                            -0.3423     +0.0072     +0.0927
   22  neighbouring                  -0.3411     -0.1077     +0.0153
   23  陷入了                           +0.3398     -0.0644     +0.0603
   24  那张                            -0.3384     -0.1078     -0.1001
   25  ––––                          -0.3371     +0.0699     +0.0148
   26  neighbours                    -0.3370     -0.0535     +0.0932
   27  的那种                           -0.3367     -0.0836     -0.1146
   28  chang                         +0.3359     +0.1145     +0.0786
   29  －                             -0.3359     +0.0918     +0.0387
   30  enti                          +0.3352     +0.1202     -0.0686
