================================================================================
Model: M2
Layer: 33
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.367, 1.358, 0.528]
Frob: 3.50
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  皂                             -0.4024     +0.1538     -0.0104
    2  politically                   +0.3888     -0.0678     -0.0238
    3  典型的                           +0.3774     -0.0732     +0.0553
    4  otti                          +0.3600     +0.0845     -0.0930
    5  clocks                        -0.3554     +0.1160     +0.0466
    6  associative                   -0.3539     +0.0348     +0.0516
    7  cat                           -0.3537     +0.0116     -0.0143
    8  379                           -0.3521     +0.0515     -0.1260
    9  Digits                        -0.3482     +0.0904     -0.0819
   10  aban                          -0.3474     +0.0340     -0.0316
   11  典型                            +0.3427     -0.0541     +0.0753
   12  lander                        -0.3390     +0.0131     -0.1502
   13  Banner                        +0.3378     -0.1319     +0.0919
   14  zij                           -0.3354     -0.0440     -0.1246
   15  203                           -0.3341     +0.0526     -0.2709
   16  digits                        -0.3315     +0.1432     -0.1123
   17  -clock                        -0.3251     +0.1250     +0.0627
   18  643                           -0.3232     +0.1595     -0.2552
   19  clock                         -0.3227     +0.1730     +0.0128
   20  Relevant                      +0.3216     +0.1450     +0.0955
   21  cat                           -0.3214     +0.0741     -0.0408
   22  Cultural                      +0.3209     -0.0167     -0.0238
   23  之理                            +0.3208     -0.0388     +0.0894
   24  常见的                           +0.3204     +0.1206     +0.1262
   25  typical                       +0.3201     -0.0421     +0.1504
   26  alus                          -0.3185     +0.1311     +0.0227
   27  lav                           -0.3182     -0.0726     +0.0199
   28  _profile                      +0.3179     +0.1099     -0.1753
   29  profiling                     +0.3178     +0.0342     -0.0722
   30  профи                         +0.3165     +0.0521     -0.1689
