================================================================================
Model: M2
Layer: 11
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  Tak                           +0.1882
    2    128  stark                         -0.1847
    3    128  }^                            +0.1831
    4    128  糯米                            +0.1804
    5    128  Jason                         -0.1790
    6    128  悍                             +0.1745
    7    128  Take                          -0.1679
    8    128  embodiments                   -0.1648
    9    128  او                            +0.1637
   10    128  editors                       +0.1608
   11    128  擅                             -0.1592
   12    128  Such                          +0.1589
   13    128  延长                            -0.1594
   14    128  prolonged                     -0.1577
   15    128  Takeaways                     -0.1580
   16    128  Cent                          -0.1559
   17    128  氧                             +0.1567
   18    128  among                         -0.1565
   19    128  take                          -0.1562
   20    128  →auto                         +0.1569
   21    128  Tak                           +0.1555
   22    128  вра                           -0.1551
   23    128  modular                       +0.1556
   24    128  815                           -0.1568
   25    128  增加                            -0.1580
   26    128  prestigious                   -0.1570
   27    128  偶数                            +0.1557
   28    128  估算                            +0.1540
   29    128  .Dis                          +0.1527
   30    128  Sean                          -0.1510
   31    128  变为                            +0.1516
   32    128  Sk                            -0.1507
   33    128  银行                            +0.1510
   34    128  .dis                          -0.1507
   35    128  amous                         -0.1516
   36    128  -ex                           -0.1501
   37    128  __(                           -0.1507
   38    128  原先                            -0.1474
   39    128  Sar                           +0.1457
   40    128  tak                           -0.1459
   41    128  Complement                    -0.1446
   42    128  Jason                         -0.1454
   43    128  Infant                        +0.1489
   44    128  最小的                           -0.1449
   45    128  能源                            +0.1450
   46    128  .mark                         -0.1440
   47    128  .un                           -0.1447
   48    128  降低                            +0.1444
   49    128  .swift                        +0.1448
   50    128  pawn                          -0.1440
   51    128  Frans                         +0.1448
   52    128  Kevin                         +0.1442
   53    128  附加                            +0.1434
   54    128  severe                        -0.1422
   55    128  rop                           +0.1426
   56    128  (auto                         -0.1419
   57    128  秧                             +0.1446
   58    128  ℝ                             +0.1425
   59    128  (                             -0.1411
   60    128  Gir                           +0.1434
