================================================================================
Model: M1
Layer: 11
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.283, 0.953, 0.646]
Frob: 3.96
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  Hab                           -0.3904     +0.0497     -0.0269
    2  脉冲                            +0.3826     -0.1294     +0.0910
    3  nuts                          +0.3816     +0.1294     -0.0811
    4  Hab                           -0.3754     +0.0204     -0.1620
    5  说到这里                          -0.3687     +0.0443     +0.0683
    6  随                             -0.3680     +0.1456     -0.0302
    7  Ori                           -0.3653     -0.0612     +0.0913
    8  来越                            -0.3630     +0.0758     -0.0292
    9  fringe                        +0.3602     +0.0406     -0.0144
   10  老妈                            -0.3552     -0.0498     -0.1529
   11  araj                          +0.3512     -0.0104     -0.0204
   12  的点                            +0.3479     -0.0062     +0.0805
   13  eman                          +0.3367     -0.0081     +0.1372
   14  impulses                      +0.3343     -0.1116     +0.0644
   15  habitu                        -0.3336     +0.0070     -0.0728
   16  APA                           -0.3308     -0.0915     -0.0199
   17  импуль                        +0.3307     -0.1317     +0.0245
   18  幸存                            +0.3305     -0.0025     +0.1871
   19  dots                          +0.3300     -0.0408     -0.0189
   20  Matrix                        +0.3276     +0.0120     -0.0005
   21  CCC                           -0.3272     -0.1138     +0.0745
   22  中方                            +0.3268     -0.1790     -0.0742
   23  ASES                          -0.3267     +0.1052     +0.0569
   24  jut                           +0.3257     -0.0610     +0.0501
   25  polys                         -0.3249     +0.2302     -0.0295
   26  Ì                             -0.3246     -0.0174     +0.0914
   27  revers                        -0.3245     +0.0129     +0.0655
   28  周期性                           +0.3231     -0.0274     +0.1666
   29  Port                          -0.3223     -0.0427     -0.1827
   30  过节                            +0.3210     -0.0459     +0.0091
