================================================================================
Model: M2
Layer: 4
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  �                             -0.5639
    2    128  Gal                           +0.3814
    3    128  ‑                             -0.3792
    4    128  '.↵                           +0.3175
    5    128  ).↵                           -0.3150
    6    128  )).↵                          +0.2962
    7    128  ⊥                             +0.2947
    8    128  Planet                        +0.2920
    9    128  -ray                          -0.2882
   10    128  #1                            +0.2814
   11    128  Heart                         -0.2795
   12    128  Different                     -0.2779
   13    128  Earth                         -0.2747
   14    128  .app                          +0.2767
   15    128  �                             -0.2725
   16    128  .↵                            -0.2729
   17    128  ．↵                            +0.2727
   18    128  ].↵                           -0.2708
   19    128  .)↵                           -0.2721
   20    128  �                             -0.2632
   21    128  Book                          -0.2624
   22    128  ◦                             +0.2614
   23    128  量子                            +0.2603
   24    128  Star                          +0.2618
   25    128  Bay                           +0.2584
   26    128  Paris                         -0.2571
   27    128  .↵                            -0.2580
   28    128  Roth                          -0.2565
   29    128  ‐                             -0.2560
   30    128  star                          +0.2531
   31    128  ↑                             -0.2527
   32    128  ?↵                            -0.2522
   33    128  !↵                            +0.2503
   34    128  Rate                          -0.2506
   35    128  ↑                             -0.2479
   36    128  Bak                           -0.2471
   37    128  ÷                             +0.2474
   38    128  …↵                            -0.2468
   39    128  .’↵                           +0.2451
   40    128  ^-                            +0.2474
   41    128  ).↵↵                          -0.2461
   42    128  .**↵↵                         -0.2447
   43    128  Bell                          -0.2457
   44    128  .…↵↵                          +0.2435
   45    128  ©                             +0.2422
   46    128  ～                             +0.2411
   47    128  ---↵                          -0.2409
   48    128  Cat                           +0.2421
   49    128  Park                          +0.2405
   50    128  Book                          -0.2388
   51    128  bach                          -0.2388
   52    128  Beta                          +0.2376
   53    128  .↵↵                           +0.2374
   54    128  .djvu                         +0.2381
   55    128  .”↵                           -0.2373
   56    128  differing                     +0.2370
   57    128  Kafka                         -0.2392
   58    128  Quantum                       -0.2374
   59    128  Heart                         +0.2358
   60    128  .•                            +0.2365
