================================================================================
Model: M1
Layer: 29
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  三级                            -0.1992
    2    128  seq                           +0.1924
    3    128  海上                            +0.1861
    4    128  ∀                             +0.1758
    5    128  Sea                           -0.1715
    6    128  党                             +0.1707
    7    128  Version                       +0.1678
    8    128  Roma                          +0.1742
    9    128  лишь                          -0.1714
   10    128  809                           +0.1693
   11    128  上面的                           +0.1610
   12    128  hull                          +0.1655
   13    128  也许是                           +0.1607
   14    128  initialize                    +0.1674
   15    128  News                          +0.1615
   16    128  Chicago                       +0.1583
   17    128  даже                          +0.1625
   18    128  Jets                          +0.1580
   19    128  同样的                           +0.1597
   20    128  жи                            +0.1622
   21    128  informative                   +0.1561
   22    128  宛若                            +0.1567
   23    128  已经是                           -0.1596
   24    128  黨                             -0.1623
   25    128  を                             +0.1577
   26    128  .sc                           +0.1586
   27    128  住房                            +0.1608
   28    128  新人                            -0.1556
   29    128  har                           +0.1522
   30    128  eric                          -0.1569
   31    128  neq                           -0.1549
   32    128  569                           +0.1586
   33    128  Sing                          +0.1574
   34    128  PMC                           -0.1614
   35    128  Far                           -0.1534
   36    128  ∂                             +0.1550
   37    128  035                           -0.1516
   38    128  周一                            -0.1460
   39    128  .v                            +0.1549
   40    128  Har                           -0.1486
   41    128  闪过                            +0.1504
   42    128  brick                         -0.1507
   43    127  掌心                            +0.1670
   44    127  吃饭                            -0.1725
   45    127  亦是                            +0.1530
   46    127  真题                            +0.1596
   47    127  â                             -0.1490
   48    127  :**↵↵                         -0.1548
   49    127  Lucy                          +0.1467
   50    126  houses                        +0.1536
   51    125  交际                            -0.1499
   52    125  Cory                          +0.1482
   53    125  爱                             -0.1543
   54    124  燕子                            -0.1561
   55    124  themselves                    +0.1509
   56    124  翔                             -0.1482
   57    123  Klein                         +0.1544
   58    123  ../                           +0.1506
   59    116  发挥                            -0.1443
   60    116  Conv                          +0.1520
