================================================================================
Model: M1
Layer: 10
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.909, 1.656, 0.599]
Frob: 4.01
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  Ori                           -0.3842     -0.0060     +0.0553
    2  nuts                          +0.3589     -0.0415     -0.0005
    3  mouth                         +0.3580     -0.0297     -0.2226
    4  ali                           +0.3485     -0.0445     -0.0103
    5  交                             -0.3433     +0.0443     -0.1155
    6  宅                             -0.3430     -0.1496     -0.0722
    7  馆                             -0.3424     -0.0508     -0.1279
    8  Orientation                   -0.3356     +0.0618     +0.1413
    9  Ì                             -0.3355     +0.0616     +0.0903
   10  lr                            +0.3351     -0.0851     +0.0215
   11  covering                      -0.3316     +0.0287     -0.1752
   12  Hab                           -0.3311     -0.0813     +0.0493
   13  dle                           +0.3305     +0.0376     +0.0224
   14  ubin                          -0.3292     -0.0080     -0.0397
   15  �                             -0.3288     -0.1018     -0.0769
   16  曜                             +0.3274     -0.0147     -0.2652
   17  三两                            -0.3274     -0.0832     +0.0318
   18  APA                           -0.3246     +0.0192     +0.0204
   19  券                             -0.3219     -0.0040     +0.0346
   20  ivu                           +0.3217     -0.1222     -0.0013
   21  jw                            +0.3199     -0.1361     +0.0117
   22  jr                            +0.3198     -0.0109     +0.0256
   23  ably                          +0.3182     -0.0239     -0.0072
   24  Lö                            +0.3145     +0.0800     +0.0051
   25  bon                           +0.3144     +0.1604     -0.0648
   26  habitu                        -0.3132     -0.1002     +0.1071
   27  chet                          +0.3125     -0.0235     -0.1466
   28  ysz                           +0.3117     -0.1548     -0.1235
   29  yrus                          +0.3110     -0.0967     -0.1181
   30  CCC                           -0.3106     -0.0408     +0.0421
