================================================================================
Model: M1
Layer: 41
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  où                            -0.2077
    2    128  359                           +0.1782
    3    128  可怕                            +0.1687
    4    128  [                             +0.1726
    5    128  一共                            +0.1705
    6    128  昆仑                            -0.1650
    7    128  259                           +0.1642
    8    128  Trinidad                      +0.1619
    9    128  Va                            +0.1616
   10    128  bz                            -0.1606
   11    128  Hur                           +0.1605
   12    128  凄                             -0.1612
   13    128  (['                           -0.1583
   14    128  维持                            +0.1595
   15    128  (["                           -0.1573
   16    128  .demo                         +0.1555
   17    128  258                           -0.1566
   18    128  景                             +0.1552
   19    128  difícil                       +0.1578
   20    128  悠                             +0.1552
   21    128  statistical                   -0.1512
   22    128  值班                            -0.1506
   23    128  cAMP                          -0.1534
   24    128  MDA                           +0.1496
   25    128  /library                      +0.1503
   26    128  -being                        -0.1512
   27    128  inational                     +0.1508
   28    128  放入                            -0.1498
   29    128  flick                         -0.1497
   30    128  %(                            +0.1479
   31    128  promotes                      -0.1483
   32    128  erg                           +0.1477
   33    128  Abs                           +0.1469
   34    128  qa                            -0.1460
   35    128  complete                      -0.1459
   36    128  multinational                 -0.1462
   37    128  Hz                            +0.1449
   38    128  玩                             -0.1453
   39    128  418                           +0.1461
   40    128  _{(                           +0.1452
   41    128  مر                            -0.1460
   42    128  Pres                          -0.1506
   43    128  -east                         +0.1452
   44    128  (df                           +0.1449
   45    128  魯                             +0.1435
   46    128  pasado                        +0.1449
   47    128  .internal                     +0.1434
   48    128  乳酸                            -0.1438
   49    128  database                      +0.1478
   50    128  三十六                           +0.1424
   51    128  浙江                            -0.1422
   52    128  �                             +0.1431
   53    128  /%                            +0.1453
   54    128  ([[                           +0.1415
   55    128  advanced                      -0.1415
   56    128  粗                             -0.1413
   57    128  838                           -0.1418
   58    128  <class                        +0.1408
   59    128  一共有                           +0.1423
   60    128  压缩机                           +0.1401
