================================================================================
Model: M2
Layer: 41
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.299, 1.145, 0.544]
Frob: 3.26
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             +0.4468     -0.4451     -0.0633
    2  metadata                      +0.3950     -0.1435     -0.0186
    3  scheduling                    +0.3913     -0.1152     -0.0977
    4  想知道                           -0.3815     +0.1484     -0.0871
    5  meta                          +0.3773     -0.1812     +0.0789
    6  guarantees                    +0.3754     -0.0673     -0.0167
    7  afterward                     +0.3735     +0.1061     +0.0440
    8  Terminology                   +0.3665     +0.0310     +0.1000
    9  之势                            +0.3641     +0.0485     -0.0938
   10  afterwards                    +0.3489     +0.0514     +0.0146
   11  checklist                     +0.3482     +0.0261     -0.1000
   12  bonuses                       +0.3415     -0.0351     +0.0953
   13  schedules                     +0.3411     -0.0956     -0.0778
   14  preferences                   +0.3400     -0.2350     -0.0150
   15  terminology                   +0.3333     -0.0286     +0.0743
   16  �                             -0.3320     +0.0533     -0.0074
   17  �                             +0.3318     -0.3024     -0.1116
   18  metadata                      +0.3316     -0.0885     -0.0175
   19  chal                          -0.3308     +0.0789     -0.0070
   20  Meta                          +0.3270     -0.0708     +0.0133
   21  的一生                           -0.3262     -0.0758     -0.0253
   22  selves                        -0.3209     +0.0105     -0.0405
   23  注意到了                          -0.3187     -0.0050     +0.0462
   24  Scheduling                    +0.3171     -0.0464     -0.0525
   25  scheduler                     +0.3170     -0.0367     -0.0305
   26  rub                           -0.3157     +0.0786     +0.2115
   27  尼古                            -0.3147     +0.0478     -0.0304
   28  调度                            +0.3135     -0.0495     +0.0409
   29  tud                           +0.3135     +0.0013     -0.1229
   30  不来                            +0.3132     -0.0311     -0.0232
