================================================================================
Model: M1
Layer: 2
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.423, 0.496, 0.235]
Frob: 4.52
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  Tat                           -0.3784     +0.1661     +0.1110
    2  之急                            -0.3733     +0.0762     +0.0704
    3  flushing                      +0.3693     +0.2391     -0.0753
    4  singular                      -0.3603     -0.0287     -0.1619
    5  iceberg                       +0.3580     +0.0125     -0.0902
    6  Affairs                       -0.3532     -0.0677     -0.0028
    7  哺                             -0.3437     -0.0187     -0.0478
    8  Andersen                      +0.3360     +0.0095     +0.0588
    9  oyle                          +0.3300     +0.0583     +0.0464
   10  展開                            +0.3300     -0.1052     -0.0760
   11  Bism                          -0.3272     -0.0950     -0.1334
   12  avad                          +0.3256     +0.1018     -0.0108
   13  angk                          +0.3251     +0.1015     +0.1271
   14  ayne                          +0.3242     +0.1187     +0.1114
   15  Biz                           -0.3228     -0.0395     -0.0136
   16  枷                             -0.3219     +0.0731     +0.0815
   17  sund                          +0.3204     -0.0565     +0.2242
   18  Matters                       -0.3202     -0.0436     +0.0851
   19  oule                          +0.3195     +0.0293     -0.0070
   20  irie                          +0.3184     -0.0576     +0.0470
   21  急                             -0.3163     -0.0206     +0.1182
   22  ecil                          -0.3148     -0.0177     +0.1642
   23  透视                            +0.3140     +0.0921     -0.0379
   24  uby                           -0.3117     +0.0658     +0.1310
   25  �                             +0.3113     +0.0290     +0.0354
   26  踐                             +0.3111     +0.1723     -0.0157
   27  之下                            -0.3087     -0.0593     +0.0906
   28  thresholds                    +0.3080     -0.0440     -0.1000
   29  -ord                          -0.3078     -0.0313     +0.0065
   30  函                             -0.3077     +0.0428     +0.0439
