================================================================================
Model: M2
Layer: 51
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.912, 1.036, 0.404]
Frob: 3.62
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             +0.6220     -0.5020     +0.4915
    2  —                             +0.3938     +0.1855     -0.1658
    3  那几个                           +0.3914     -0.1132     -0.0087
    4  -mi                           +0.3825     +0.0037     +0.0978
    5  -\(\                          -0.3727     +0.1706     -0.0056
    6  chang                         -0.3720     +0.1532     +0.0370
    7  �                             +0.3688     -0.1618     +0.2472
    8  的那些                           +0.3667     +0.0228     +0.1041
    9  一点儿                           +0.3653     -0.0106     +0.1283
   10  \(\                           -0.3616     +0.2113     +0.0479
   11  ppo                           -0.3501     +0.0745     +0.0543
   12  (or                           +0.3487     -0.0661     -0.0373
   13  —↵                            +0.3469     +0.1605     -0.0949
   14  honour                        +0.3468     +0.1592     +0.0329
   15  一會兒                           +0.3411     -0.0824     +0.0130
   16  ———                           +0.3376     +0.0713     +0.0517
   17  wc                            -0.3316     +0.0849     -0.0332
   18  Boltzmann                     -0.3303     -0.1286     +0.0263
   19  \(|                           -0.3299     +0.1285     +0.0355
   20  ballistic                     -0.3288     +0.0656     +0.1029
   21  viewpoint                     +0.3279     +0.0322     -0.0114
   22  此生                            -0.3274     +0.0158     +0.0077
   23  ys                            -0.3259     -0.0620     -0.0227
   24  那群                            +0.3240     -0.0854     +0.1522
   25  agy                           +0.3238     +0.0526     +0.0921
   26  沦                             -0.3225     -0.0998     -0.0447
   27  一会儿                           +0.3221     -0.0523     -0.0658
   28  \((                           -0.3209     +0.2548     -0.0061
   29  AJ                            -0.3191     -0.0026     +0.1147
   30  egan                          -0.3191     -0.0783     -0.0755
