================================================================================
Model: M2
Layer: 49
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.248, 1.112, 0.609]
Frob: 3.35
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             +0.6601     +0.2373     +0.1302
    2  ->                            +0.4286     +0.7675     -0.0783
    3  ppo                           -0.4130     +0.0716     +0.0166
    4  ––                            +0.4050     +0.3137     -0.0024
    5  �                             +0.3801     +0.1347     -0.0444
    6  必要的                           +0.3786     +0.0628     +0.0272
    7  satellite                     +0.3691     -0.0206     +0.0425
    8  chang                         -0.3685     +0.0018     +0.0681
    9  Kn                            -0.3530     -0.1551     +0.0693
   10  ft                            +0.3521     +0.0076     -0.2918
   11  Gal                           +0.3480     +0.3621     +0.0380
   12  —                             +0.3479     +0.3773     +0.0810
   13  nested                        +0.3472     -0.2112     -0.3739
   14  的那个人                          +0.3462     -0.1175     -0.0132
   15  enti                          -0.3358     -0.0520     -0.0451
   16  ‐                             +0.3349     +0.1896     +0.0916
   17  Ft                            +0.3345     +0.0275     -0.3156
   18  必需的                           +0.3314     +0.0832     +0.0007
   19  eks                           -0.3280     -0.1022     +0.0656
   20  堂堂                            -0.3276     -0.1220     -0.0421
   21  的必要                           +0.3255     -0.0047     -0.0358
   22  nont                          +0.3227     +0.1663     +0.2333
   23  生命中                           -0.3223     -0.1080     -0.1265
   24  Dup                           +0.3199     +0.1875     -0.1026
   25  启蒙                            -0.3183     -0.0179     +0.0069
   26  t                             +0.3174     -0.0492     -0.0721
   27  sit                           +0.3174     +0.0092     -0.0684
   28  ->↵                           +0.3169     +0.5821     +0.0663
   29  vin                           -0.3168     +0.0542     +0.1486
   30  -\(\                          -0.3157     -0.1407     -0.0330
