================================================================================
Model: M2
Layer: 46
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  Я                             +0.2099
    2    128  _CO                           -0.2263
    3    128  Са                            -0.1922
    4    128  .Map                          -0.1933
    5    128  Ра                            -0.1769
    6    128  �                             -0.1667
    7    128  Done                          -0.1710
    8    128  390                           +0.1672
    9    128  Chris                         +0.1712
   10    128  Ч                             +0.1608
   11    128  heter                         -0.1645
   12    128  wn                            +0.1642
   13    128  Card                          -0.1563
   14    128  Feb                           -0.1685
   15    128  Said                          +0.1635
   16    128  VER                           -0.1649
   17    128  Kn                            -0.1542
   18    128  QS                            +0.1627
   19    128  Ч                             +0.1648
   20    128  重生                            +0.1554
   21    128  起到                            +0.1625
   22    128  Architecture                  -0.1598
   23    128  Sat                           -0.1582
   24    128  Capt                          -0.1525
   25    128  十分的                           +0.1623
   26    128  tensor                        -0.1577
   27    128  oglu                          +0.1599
   28    128  torsion                       +0.1515
   29    128  ibid                          -0.1588
   30    128  Knot                          -0.1563
   31    128  Respons                       +0.1528
   32    128  ]:↵↵                          -0.1547
   33    128  拉斯                            +0.1543
   34    128  healthcare                    +0.1532
   35    128  dimension                     -0.1478
   36    128  Rain                          +0.1516
   37    128  Weather                       -0.1548
   38    128  走上                            +0.1508
   39    128  .Runtime                      -0.1468
   40    128  储能                            -0.1474
   41    128  Dawn                          -0.1512
   42    128  BBC                           -0.1501
   43    127  arche                         +0.1532
   44    127  aft                           +0.1469
   45    127  殷勤                            -0.1466
   46    127  Да                            -0.1449
   47    127  681                           -0.1593
   48    127  疑惑                            -0.1462
   49    127  ISSN                          -0.1466
   50    126  帆                             -0.1541
   51    126  Mood                          -0.1468
   52    125  _REG                          -0.1460
   53    125  FDA                           +0.1450
   54    125  ****                          +0.1519
   55    123  elasticity                    +0.1506
   56    123  mood                          +0.1475
   57    123  производи                     +0.1447
   58    122  riv                           +0.1443
   59    122  structure                     -0.1465
   60    122  体温                            -0.1524
