================================================================================
Model: M1
Layer: 37
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  async                         +0.1851
    2    128  considerations                -0.1835
    3    128  Ic                            -0.1866
    4    128  Ik                            -0.1735
    5    128  International                 -0.1723
    6    128  吾                             +0.1738
    7    128  522                           -0.1700
    8    128  Ii                            -0.1654
    9    128  WITH                          +0.1625
   10    128  async                         +0.1634
   11    128  俩                             -0.1635
   12    128  Omega                         -0.1611
   13    128  Kel                           +0.1591
   14    128  Bo                            +0.1609
   15    128  茅                             +0.1633
   16    128  oro                           +0.1682
   17    128  particle                      -0.1619
   18    128  我俩                            -0.1621
   19    128  定义为                           +0.1576
   20    128  Ln                            +0.1591
   21    128  Ek                            -0.1591
   22    128  持久                            -0.1619
   23    128  Queen                         -0.1607
   24    128  Omega                         -0.1598
   25    128  婴儿                            +0.1580
   26    128  sw                            +0.1600
   27    128  wy                            +0.1562
   28    128  监察                            +0.1542
   29    128  Ij                            +0.1588
   30    128  cy                            -0.1563
   31    128  -------------------------...     +0.1584
   32    128  PRE                           -0.1555
   33    128  实例                            +0.1552
   34    128  Container                     -0.1546
   35    128  Lj                            +0.1574
   36    128  Ig                            -0.1540
   37    128  SW                            +0.1533
   38    128  anonymity                     +0.1543
   39    128  轩辕                            -0.1529
   40    128  attrs                         -0.1534
   41    128  oL                            +0.1552
   42    128  поли                          +0.1522
   43    128  满足                            -0.1533
   44    128  Ji                            -0.1524
   45    128  Principle                     +0.1526
   46    128  neuron                        +0.1514
   47    128  neurons                       +0.1527
   48    128  Vi                            +0.1488
   49    128  报纸                            +0.1481
   50    128  BJ                            -0.1480
   51    128  不去                            +0.1500
   52    128  organisms                     -0.1483
   53    128  Individuals                   +0.1474
   54    128  Jonas                         +0.1493
   55    128  Lim                           -0.1481
   56    128  果                             -0.1501
   57    128  确立                            -0.1466
   58    128  和气                            +0.1510
   59    128  披                             +0.1481
   60    128  Connect                       +0.1481
