================================================================================
Model: M2
Layer: 7
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  ‑                             -0.3362
    2    128  Δ                             -0.2270
    3    128  lands                         -0.2145
    4    128  350                           +0.2147
    5    128  ].↵                           +0.2109
    6    128  ี                             +0.2041
    7    128  hot                           -0.2062
    8    128  ).↵                           +0.2032
    9    128  La                            +0.2084
   10    128  How                           +0.2025
   11    128  Tim                           +0.1969
   12    128  湖南                            -0.1962
   13    128  �                             +0.1985
   14    128  ”.↵                           +0.1978
   15    128  ">↵                           -0.1931
   16    128  南                             +0.1938
   17    128  .a                            -0.1902
   18    128  ）-                            -0.1908
   19    128  `.↵                           -0.1912
   20    128  Hot                           +0.1938
   21    128  :e                            +0.1918
   22    128  RF                            -0.1858
   23    128  parenting                     +0.1908
   24    128  soil                          +0.1834
   25    128  What                          +0.1887
   26    128  Here                          +0.1897
   27    128  scattering                    +0.1847
   28    128  广东                            +0.1845
   29    128  If                            -0.1848
   30    128  ：↵                            +0.1864
   31    128  _X                            -0.1814
   32    128  230                           -0.1800
   33    128  RV                            +0.1804
   34    128  崔                             +0.1828
   35    128  Kal                           +0.1838
   36    128  胖                             -0.1785
   37    128  М                             -0.1771
   38    128  .↵                            +0.1775
   39    128  湖北                            -0.1790
   40    128  publish                       +0.1793
   41    128  Cal                           -0.1757
   42    128  Bio                           -0.1762
   43    128  javax                         +0.1769
   44    128  ].↵↵                          +0.1759
   45    128  At                            -0.1802
   46    128  Х                             +0.1745
   47    128  mag                           -0.1757
   48    128  If                            -0.1740
   49    128  県                             -0.1711
   50    128  At                            -0.1754
   51    128  +-                            -0.1724
   52    128  Ma                            +0.1720
   53    128  F                             +0.1753
   54    128  Δ                             +0.1691
   55    128  Hot                           +0.1810
   56    128  SER                           -0.1762
   57    128  DOI                           +0.1696
   58    128  ‐                             +0.1677
   59    128  Xu                            -0.1709
   60    128  ":"                           -0.1758
