================================================================================
Model: M2
Layer: 1
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  01                            -0.5132
    2    128  03                            +0.3708
    3    128  plac                          -0.3444
    4    128  bral                          -0.3417
    5    128  cle                           +0.3282
    6    128  String                        -0.3213
    7    128  ）                             +0.3197
    8    128  ial                           +0.3238
    9    128  aky                           +0.3208
   10    128  Created                       -0.3167
   11    128  agle                          +0.3160
   12    128  ve                            -0.3201
   13    128  aud                           +0.3202
   14    128  开始                            -0.3138
   15    128  acle                          +0.3097
   16    128  )                             -0.3093
   17    128  Department                    -0.3110
   18    128  ge                            -0.3078
   19    128  cal                           -0.3112
   20    128  gal                           -0.3059
   21    128  eps                           -0.3069
   22    128  common                        -0.3054
   23    128  organization                  -0.3050
   24    128  aling                         -0.3054
   25    128  bed                           +0.3026
   26    128  erg                           -0.3056
   27    128  or                            +0.3032
   28    128  bul                           -0.3028
   29    128  erge                          -0.2977
   30    128  021                           -0.2989
   31    128  ially                         +0.2992
   32    128  ling                          -0.2998
   33    128  ips                           -0.2971
   34    128  aco                           +0.2943
   35    128  illing                        +0.2927
   36    128  bly                           +0.2918
   37    128  inal                          +0.2955
   38    128  il                            -0.2899
   39    128  name                          -0.2934
   40    128  bal                           -0.2908
   41    128  rig                           +0.2916
   42    128  development                   +0.2863
   43    128  imal                          +0.2923
   44    128  Character                     +0.2880
   45    128  and                           +0.2894
   46    128  l                             -0.2862
   47    128  fundamental                   +0.2882
   48    128  Domain                        +0.2843
   49    128  yle                           +0.2851
   50    128  ed                            -0.2850
   51    128  p                             -0.2868
   52    128  21                            +0.2822
   53    128  re                            -0.2861
   54    128  lee                           +0.2831
   55    128  vel                           -0.2843
   56    128  ptic                          +0.2821
   57    128  等                             +0.2824
   58    128  �                             -0.2822
   59    128  Indonesia                     -0.2823
   60    128  第一                            +0.2792
