================================================================================
Model: M2
Layer: 47
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  bol                           -0.1706
    2    127  引入                            +0.1951
    3    127  xt                            -0.1700
    4    127  /server                       +0.1690
    5    127  柯                             -0.1702
    6    127  关联                            +0.1628
    7    127  你也                            -0.1609
    8    125  Story                         +0.1609
    9    125  bou                           -0.1618
   10    125  ый                            -0.1554
   11    125  Roman                         +0.1705
   12    124  接过                            -0.1829
   13    124  罪恶                            +0.1606
   14    124  י                             -0.1645
   15    124  ////////////////              +0.1643
   16    123  悲惨                            +0.1623
   17    123  种子                            +0.1596
   18    122  Entity                        -0.1692
   19    122  鳞                             -0.1587
   20    121  博                             -0.1805
   21    120  باید                          +0.1530
   22    120  悲                             -0.1548
   23    120  kB                            +0.1627
   24    119  ant                           -0.1715
   25    119  Display                       +0.1536
   26    119  #{                            +0.1522
   27    119  binary                        -0.1591
   28    118  Display                       -0.1608
   29    118  联系电话                          +0.1526
   30    116  输入                            +0.1564
   31    115  Nile                          -0.1646
   32    113  ric                           -0.1527
   33    113  菲律宾                           +0.1505
   34    112  )+\                           -0.1813
   35    112  eb                            -0.1477
   36    110  ~~                            +0.1635
   37    109  AAAAAAAA                      +0.1507
   38    107  display                       -0.1677
   39    106  勤                             +0.1692
   40    106  ZT                            -0.1574
   41    105  向了                            +0.1449
   42    105  Struct                        -0.1477
   43    103  sce                           -0.1488
   44    102  Vel                           +0.1543
   45    102  nevertheless                  -0.1497
   46    100  Navy                          -0.1594
   47     99  昆明                            +0.1602
   48     98  material                      +0.1517
   49     97  华盛顿                           -0.1560
   50     96  worksheets                    -0.1582
   51     96  转向                            -0.1452
   52     95  bone                          +0.1642
   53     95  incomplete                    +0.1496
   54     94  aby                           -0.1595
   55     94  .ArrayList                    -0.1468
   56     91  浦                             -0.1926
   57     91  {n                            -0.1664
   58     91  animal                        -0.1488
   59     89  哈尔滨                           -0.1630
   60     89  敢于                            +0.1508
