================================================================================
Model: M2
Layer: 35
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  变成了                           +0.1905
    2    128  Cons                          -0.1910
    3    128  灯光                            -0.1861
    4    128  thin                          +0.1853
    5    128  是一个                           +0.1796
    6    128  每天                            -0.1700
    7    128  epoch                         -0.1725
    8    128  生怕                            -0.1669
    9    128  各                             +0.1656
   10    128  虾                             +0.1710
   11    128  \)-                           +0.1660
   12    128  不再是                           -0.1677
   13    128  (!                            -0.1685
   14    128  是一种                           +0.1645
   15    128  Ack                           +0.1580
   16    128  "s                            -0.1625
   17    128  开始                            +0.1618
   18    128  笔记本电脑                         -0.1588
   19    128  崩溃                            +0.1591
   20    128  不光                            +0.1613
   21    128  nex                           +0.1617
   22    128  Hob                           +0.1619
   23    128  �                             -0.1612
   24    128  远比                            -0.1619
   25    128  的一种                           +0.1621
   26    128  奕                             -0.1605
   27    128  进行                            +0.1578
   28    128  Pick                          +0.1553
   29    128  Hick                          +0.1558
   30    128  粪                             +0.1594
   31    128  行为                            +0.1558
   32    128  hiking                        -0.1548
   33    128  总觉得                           +0.1547
   34    128  lunch                         +0.1516
   35    128  发生了                           +0.1573
   36    128  User                          +0.1537
   37    128  ),(                           +0.1607
   38    128  該                             +0.1523
   39    128  OVER                          -0.1536
   40    128  McG                           -0.1593
   41    128  为主                            +0.1528
   42    128  受灾                            +0.1514
   43    128  一共                            +0.1528
   44    128  Priority                      +0.1490
   45    128  一个是                           +0.1489
   46    128  尽快                            +0.1480
   47    128  就会                            -0.1480
   48    128  861                           +0.1489
   49    128  ---------                     -0.1503
   50    127  sub                           -0.1620
   51    127  _EX                           -0.1631
   52    127  般                             -0.1558
   53    127  umo                           -0.1580
   54    127  Sak                           +0.1505
   55    127  args                          +0.1519
   56    127  -------------------------...     -0.1511
   57    127  不但                            +0.1500
   58    127  这次                            +0.1485
   59    127  缩短                            -0.1474
   60    126  娱乐圈                           -0.1563
