================================================================================
Model: M1
Layer: 1
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.560, 0.680, 0.392]
Frob: 4.64
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  flushing                      +0.4028     -0.0766     -0.0910
    2  Affairs                       -0.3816     +0.0275     +0.0347
    3  Tat                           -0.3711     -0.0622     -0.2310
    4  iceberg                       +0.3710     -0.0676     +0.1659
    5  angk                          +0.3662     -0.0864     +0.0140
    6  之急                            -0.3414     +0.0301     -0.0490
    7  哺                             -0.3380     +0.0161     +0.1416
    8  affairs                       -0.3357     +0.0438     +0.0523
    9  ellig                         -0.3340     +0.1824     +0.1357
   10  踐                             +0.3336     -0.1552     -0.0487
   11  最美                            -0.3325     +0.0385     -0.0062
   12  ayne                          +0.3321     -0.1407     -0.0281
   13  vag                           -0.3302     -0.0135     +0.1248
   14  irie                          +0.3257     +0.0321     -0.0284
   15  oyle                          +0.3250     +0.0228     -0.1020
   16  Bism                          -0.3243     -0.0131     +0.0550
   17  话筒                            +0.3234     +0.1300     +0.0197
   18  透视                            +0.3212     -0.0791     -0.0070
   19  singular                      -0.3210     +0.0584     -0.0421
   20  之下                            -0.3193     -0.0352     +0.1273
   21  扣                             -0.3192     -0.0489     +0.1929
   22  endas                         +0.3191     +0.0543     -0.0832
   23  avad                          +0.3159     -0.0207     -0.0613
   24  Andersen                      +0.3155     +0.0252     -0.0687
   25  翼                             -0.3145     +0.0727     +0.1503
   26  Matters                       -0.3129     +0.0600     +0.0558
   27  oule                          +0.3116     -0.0713     -0.0574
   28  �                             +0.3112     +0.0309     -0.0491
   29  arti                          +0.3104     -0.0882     -0.1972
   30  急                             -0.3097     +0.0456     -0.0926
