================================================================================
Model: M1
Layer: 40
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.710, 2.478, 1.613]
Frob: 6.53
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ”?↵↵                          -0.4460     -0.0145     +0.1923
    2  thorn                         +0.4042     +0.0321     -0.0407
    3  uwe                           -0.3929     -0.1464     -0.0367
    4  ”？                            -0.3834     -0.0653     +0.0236
    5  positional                    -0.3731     -0.1489     -0.0651
    6  minimal                       -0.3729     -0.1333     -0.0962
    7  在各种                           -0.3683     +0.2770     -0.1505
    8  794                           -0.3535     +0.0363     -0.0662
    9  LEX                           -0.3529     -0.0535     -0.1294
   10  )?↵                           -0.3516     +0.0080     +0.1496
   11  aptly                         +0.3504     +0.0302     +0.1074
   12  ”?                            -0.3460     -0.0629     +0.1067
   13  )?↵↵                          -0.3440     +0.0504     +0.2277
   14  prototype                     -0.3424     -0.1160     +0.0374
   15  Minimal                       -0.3417     -0.0803     -0.1438
   16  -grid                         +0.3408     +0.0432     +0.1395
   17  Grid                          +0.3370     -0.0152     +0.1409
   18  小而                            -0.3351     -0.0579     +0.1640
   19  puzzle                        -0.3263     -0.0962     -0.0457
   20  muttered                      -0.3241     +0.0326     +0.0396
   21  are                           -0.3232     -0.0139     -0.0354
   22  legality                      -0.3230     -0.0860     -0.1291
   23  了几句                           -0.3211     +0.1055     +0.0821
   24  markings                      -0.3204     -0.1067     +0.0322
   25  grids                         +0.3203     -0.0595     +0.3050
   26  私下                            -0.3203     +0.0721     -0.0959
   27  在全                            -0.3198     -0.0301     -0.2044
   28  numeric                       -0.3181     -0.0501     +0.0740
   29  Nature                        +0.3180     -0.0887     +0.1498
   30  prere                         -0.3172     -0.0983     -0.0436
