================================================================================
Model: M3
Layer: 51
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.916, 2.584, 1.527]
Frob: 6.36
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  #1                            +0.5409     -0.2018     +0.1525
    2  manag                         -0.4021     +0.1097     +0.0068
    3  悬                             +0.3906     -0.0998     +0.0112
    4  Kov                           -0.3811     -0.0077     -0.0273
    5  管理模式                          -0.3810     +0.1426     +0.0145
    6  REF                           +0.3795     -0.1754     +0.0701
    7  cant                          +0.3767     +0.0230     -0.0388
    8  序列                            +0.3661     -0.1934     -0.1684
    9  "?↵↵                          +0.3649     +0.0089     +0.1111
   10  managed                       -0.3610     +0.0392     -0.1178
   11  Ey                            +0.3556     +0.0277     +0.0006
   12  placement                     -0.3554     -0.0700     -0.0599
   13  飞行                            +0.3538     +0.0682     -0.1646
   14  Manage                        -0.3505     +0.0770     +0.0362
   15  -------------------------...     -0.3476     +0.0148     -0.1191
   16  "?                            +0.3465     -0.0412     +0.0980
   17  bj                            +0.3418     +0.0917     -0.0034
   18  ────────────────              -0.3414     +0.1738     +0.0672
   19  spherical                     +0.3392     -0.0659     -0.1372
   20  placements                    -0.3389     -0.0213     -0.0579
   21  ?↵↵                           +0.3326     -0.0371     +0.1170
   22  ────────                      -0.3324     +0.1472     -0.0170
   23  nte                           +0.3322     -0.0324     +0.0345
   24  )?                            +0.3303     -0.0123     +0.0617
   25  dominion                      -0.3279     -0.1200     -0.0292
   26  管理中                           -0.3268     +0.1082     +0.1023
   27  ?"↵↵                          +0.3262     -0.0222     +0.0746
   28  ?,                            +0.3261     -0.0834     +0.0033
   29  Killer                        -0.3258     +0.0833     -0.0533
   30  ?↵↵                           +0.3251     -0.0033     +0.1210
