================================================================================
Model: M1
Layer: 42
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  就可以                           -0.1756
    2    128  agh                           +0.1780
    3    128  訴                             -0.1678
    4    128  aka                           +0.1774
    5    128  策                             -0.1612
    6    128  �                             -0.1586
    7    128  Fond                          -0.1612
    8    128  流动资产                          -0.1555
    9    128  苍                             -0.1644
   10    128  ND                            -0.1536
   11    128  deliberate                    +0.1490
   12    128  819                           -0.1554
   13    128  有色金属                          +0.1488
   14    128  61                            +0.1574
   15    128  ки                            +0.1515
   16    128  vn                            +0.1499
   17    128  sf                            -0.1460
   18    127  países                        +0.1498
   19    127  努                             +0.1678
   20    127  ganze                         -0.1468
   21    127  附近                            +0.1639
   22    127  feelings                      -0.1580
   23    127  PQ                            +0.1473
   24    126  roses                         -0.1628
   25    126  contemporaries                -0.1495
   26    126  BCE                           +0.1503
   27    126  iff                           +0.1464
   28    126  Collier                       +0.1450
   29    125  QM                            -0.1546
   30    125  axi                           +0.1505
   31    125  "What                         -0.1485
   32    125  Detail                        -0.1442
   33    124  Dare                          +0.1704
   34    124  retrospective                 -0.1664
   35    124  或許                            -0.1732
   36    124  Norm                          +0.1569
   37    124  别墅                            +0.1385
   38    123  ifi                           -0.1559
   39    123  Ronald                        -0.1479
   40    122  估值                            +0.1603
   41    122  之间的关系                         -0.1508
   42    122  671                           -0.1524
   43    122  Os                            -0.1426
   44    121  数和                            -0.1416
   45    121  reacted                       -0.1379
   46    121  优秀                            +0.1461
   47    120  麦克                            +0.1547
   48    120  dapat                         -0.1420
   49    117  призна                        -0.1407
   50    116  常规                            +0.1458
   51    116  nor                           -0.1411
   52    116  和他的                           +0.1378
   53    114  AFC                           -0.1389
   54    114  蕊                             +0.1491
   55    111  ros                           -0.1360
   56    111  协同                            +0.1463
   57    111  CN                            -0.1389
   58    110  ри                            +0.1566
   59    109  804                           -0.1432
   60    107  yo                            +0.1451
