================================================================================
Model: M1
Layer: 0
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  mountain                      +0.2878
    2    128  Just                          +0.2860
    3    128  那些                            +0.2610
    4    128  yang                          -0.2636
    5    128  при                           -0.2532
    6    128  Near                          -0.2342
    7    128  un                            -0.2500
    8    128  が                             -0.2457
    9    128  much                          +0.2578
   10    128  each                          +0.2575
   11    128  还                             +0.2527
   12    128  two                           -0.2391
   13    128  要                             -0.2512
   14    128  Just                          -0.2316
   15    128  не                            -0.2320
   16    128  Mountain                      -0.2274
   17    128  Small                         +0.2301
   18    128  can                           -0.2464
   19    128  Node                          +0.2281
   20    128  AT                            +0.2204
   21    128  St                            -0.2272
   22    128  being                         -0.2310
   23    128  Not                           +0.2235
   24    128  some                          -0.2381
   25    128  becoming                      -0.2202
   26    128  r                             +0.2386
   27    128  many                          -0.2248
   28    128  partition                     +0.2197
   29    128  an                            -0.2190
   30    128  was                           +0.2190
   31    128  from                          +0.2253
   32    128  former                        +0.2167
   33    128  что                           -0.2295
   34    128  small                         +0.2197
   35    128  和                             -0.2345
   36    128  n                             -0.2245
   37    128  part                          -0.2175
   38    128  к                             +0.2263
   39    128  From                          -0.2088
   40    128  ~                             -0.2284
   41    128  ln                            +0.2046
   42    128  Gulf                          +0.2143
   43    128  who                           -0.2247
   44    128  nat                           +0.2039
   45    128  r                             +0.2250
   46    128  der                           -0.2216
   47    128  all                           -0.2337
   48    128  such                          -0.2174
   49    128  node                          -0.2052
   50    128  under                         +0.2068
   51    128  对                             -0.2205
   52    128  often                         -0.2018
   53    128  還                             -0.2095
   54    128  original                      -0.1998
   55    128  最                             -0.2185
   56    128  list                          +0.2142
   57    128  ir                            -0.2043
   58    128  those                         +0.2039
   59    127  just                          -0.2111
   60    127  到了                            +0.2033
