================================================================================
Model: M3
Layer: 37
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.679, 2.627, 1.457]
Frob: 5.63
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  adio                          -0.3893     +0.0674     -0.1673
    2  ucher                         -0.3799     -0.0745     -0.0051
    3  osite                         -0.3768     +0.1936     +0.1520
    4  Opportun                      -0.3586     +0.0249     -0.0491
    5  execute                       -0.3493     +0.0018     +0.0719
    6  oller                         -0.3468     +0.0071     +0.1003
    7  #1                            +0.3468     +0.1053     +0.1778
    8  deck                          -0.3456     -0.1187     +0.1353
    9  gle                           +0.3432     -0.2971     +0.0263
   10  dire                          -0.3426     +0.0402     +0.0504
   11  uric                          -0.3412     -0.0625     -0.0074
   12  otis                          -0.3344     +0.0752     +0.1400
   13  WF                            -0.3328     +0.0318     -0.0072
   14  Modern                        -0.3297     +0.1788     +0.0611
   15  hou                           -0.3279     -0.0264     +0.0354
   16  triggers                      +0.3279     -0.0881     -0.0862
   17  ieves                         +0.3233     +0.0594     +0.1397
   18  看过                            +0.3222     +0.0688     -0.0980
   19  atro                          -0.3212     +0.0070     +0.0258
   20  hausen                        -0.3187     +0.0772     +0.0201
   21  和教育                           -0.3187     -0.0670     -0.0730
   22  悬                             +0.3176     +0.0325     -0.0087
   23  execute                       -0.3166     +0.0501     +0.0102
   24  干扰                            +0.3157     +0.0200     +0.0332
   25  Oral                          -0.3151     +0.0110     -0.1442
   26  BRI                           -0.3139     +0.0066     +0.0413
   27  runtime                       -0.3115     -0.0581     -0.0232
   28  -dire                         -0.3109     -0.0346     +0.0760
   29  demon                         -0.3091     -0.0030     +0.1568
   30  见过的                           +0.3088     +0.0326     -0.0776
