================================================================================
Model: M1
Layer: 33
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  繁                             -0.1961
    2    128  .se                           +0.1819
    3    128  总体                            -0.1814
    4    128  hp                            -0.1749
    5    128  秃                             -0.1708
    6    128  Dh                            -0.1647
    7    128  Fin                           -0.1650
    8    128  PLA                           -0.1637
    9    128  接待                            +0.1575
   10    128  Stein                         +0.1550
   11    128  Das                           +0.1551
   12    128  FAR                           -0.1562
   13    128  Gab                           -0.1554
   14    128  dorm                          -0.1544
   15    128  VAR                           +0.1523
   16    128  Alternative                   -0.1509
   17    128  →var                          -0.1515
   18    128  大口                            +0.1501
   19    128  毛利                            +0.1517
   20    128  填写                            -0.1560
   21    128  mitosis                       +0.1499
   22    128  悲伤                            +0.1496
   23    128  涵盖                            +0.1484
   24    128  िष                            -0.1481
   25    128  quienes                       -0.1499
   26    128  土耳其                           -0.1488
   27    128  elementary                    -0.1465
   28    128  Leon                          +0.1478
   29    128  拟合                            -0.1455
   30    128  Firefox                       +0.1496
   31    128  Evidence                      -0.1464
   32    128  Eur                           -0.1451
   33    128  .utils                        -0.1450
   34    128  诗歌                            -0.1456
   35    128  梳                             -0.1444
   36    128  thermodynamic                 -0.1433
   37    128  Tutorial                      +0.1422
   38    128  整体                            -0.1448
   39    128  <std                          -0.1431
   40    128  Ty                            -0.1460
   41    128  الق                           -0.1425
   42    128  beta                          +0.1466
   43    128  �                             -0.1411
   44    128  其他人                           -0.1437
   45    128  Dodge                         +0.1400
   46    128  лишь                          -0.1398
   47    128  toxins                        +0.1397
   48    128  綿                             -0.1373
   49    128  情景                            -0.1362
   50    128  Landroid                      +0.1378
   51    128  Qual                          -0.1388
   52    128  umat                          +0.1380
   53    128  NV                            +0.1386
   54    128  third                         +0.1391
   55    128  analytic                      -0.1359
   56    128  overwhelmed                   +0.1353
   57    128  boleh                         -0.1379
   58    128  .core                         -0.1382
   59    128  etes                          +0.1381
   60    128  如同                            -0.1398
