================================================================================
Model: M1
Layer: 8
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.427, 1.796, 1.375]
Frob: 4.48
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  spre                          +0.3860     +0.0501     +0.0562
    2  Assurance                     -0.3843     -0.0176     +0.2331
    3  Affairs                       -0.3790     -0.0651     +0.1668
    4  幸存                            +0.3731     -0.0688     -0.0735
    5  sq                            +0.3645     +0.1258     +0.0552
    6  ASES                          -0.3615     +0.1014     -0.1342
    7  �                             -0.3592     -0.0439     -0.0378
    8  急着                            -0.3498     +0.1125     -0.0366
    9  Broker                        -0.3472     +0.0285     +0.1133
   10  onet                          +0.3441     +0.2078     +0.0680
   11  bon                           +0.3412     -0.0003     -0.0788
   12  azer                          +0.3372     +0.1333     -0.2227
   13  之急                            -0.3327     -0.0067     +0.0295
   14  践行                            +0.3321     -0.2139     +0.0947
   15  oule                          +0.3306     +0.1154     +0.0002
   16  breakout                      +0.3291     -0.0751     -0.0368
   17  克罗                            +0.3264     +0.0003     +0.1144
   18  chet                          +0.3261     -0.0527     -0.0374
   19  angles                        +0.3234     -0.0216     +0.0194
   20  Goss                          -0.3220     +0.2191     -0.0318
   21  sof                           +0.3220     -0.1543     -0.0987
   22  绅                             -0.3189     -0.1318     +0.1148
   23  Rail                          -0.3160     -0.0090     -0.0347
   24  商学院                           -0.3160     -0.0339     -0.0248
   25  改善                            +0.3158     +0.0358     -0.0249
   26  踐                             +0.3148     -0.1797     +0.0836
   27  脉冲                            +0.3144     -0.0693     -0.0920
   28  interfer                      +0.3144     -0.0386     +0.0500
   29  域                             -0.3141     -0.0098     +0.0618
   30  改善了                           +0.3128     +0.0541     -0.0700
