================================================================================
Model: M2
Layer: 35
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.189, 1.044, 0.687]
Frob: 3.26
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  Medic                         +0.3658     -0.2840     +0.0601
    2  �                             -0.3599     -0.0295     +0.0521
    3  yna                           -0.3487     -0.1299     +0.0365
    4  /pr                           +0.3470     -0.0745     +0.0546
    5  med                           +0.3356     -0.1132     +0.0296
    6  repeatedly                    +0.3295     +0.2086     +0.0912
    7  宅                             +0.3289     +0.0448     +0.0344
    8  代号                            +0.3267     -0.0321     +0.0086
    9  overlap                       +0.3209     +0.1375     -0.0067
   10  gains                         -0.3174     -0.1180     +0.1274
   11  端                             +0.3151     +0.1697     +0.0340
   12  afterward                     +0.3149     -0.0614     +0.0177
   13  这是由于                          -0.3137     +0.0522     -0.2932
   14  Browne                        -0.3107     +0.1945     +0.0592
   15  som                           +0.3095     -0.2057     -0.0892
   16  Hank                          +0.3092     -0.0385     +0.0447
   17  pinch                         +0.3079     -0.0694     -0.0490
   18  早点                            +0.3057     -0.1204     +0.0106
   19  offices                       +0.3051     -0.0630     +0.0876
   20  fmt                           +0.3037     -0.0243     +0.0201
   21  Gains                         -0.3025     -0.0837     +0.1045
   22  字号                            +0.3025     -0.0022     -0.1255
   23  office                        +0.3021     +0.0091     -0.0238
   24  checklist                     +0.3014     +0.0234     -0.0997
   25  Meta                          +0.3011     +0.1384     +0.1717
   26  chief                         +0.3006     -0.1291     -0.0207
   27  itr                           +0.3006     -0.1802     -0.0906
   28  硬                             +0.3004     -0.0075     -0.0612
   29  isher                         +0.2997     +0.0977     +0.0156
   30  Bom                           -0.2997     -0.1580     -0.1442
