================================================================================
Model: M2
Layer: 40
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  Jim                           -0.1922
    2    128  914                           +0.1921
    3    128  .server                       -0.1965
    4    128  decisive                      -0.1825
    5    128  interviewing                  +0.1831
    6    128  民办                            +0.1699
    7    128  пло                           -0.1702
    8    128  广西                            +0.1736
    9    128  陕西                            +0.1720
   10    128  _server                       -0.1681
   11    128  groundwater                   +0.1608
   12    128  花费                            -0.1584
   13    128  Bas                           +0.1595
   14    128  sj                            +0.1574
   15    128  制裁                            -0.1584
   16    128  방                             -0.1548
   17    128  grew                          +0.1531
   18    127  Charlotte                     -0.1790
   19    127  }}=\                          +0.1589
   20    127  Э                             -0.1665
   21    127  Sy                            -0.1546
   22    127  冤                             +0.1581
   23    127  曹                             -0.1600
   24    127  subsection                    -0.1582
   25    126  под                           +0.1887
   26    126  高于                            -0.1639
   27    126  挂                             -0.1732
   28    126  oubt                          +0.1591
   29    126  Sanctuary                     -0.1510
   30    126  丨                             +0.1566
   31    125  娥                             -0.1709
   32    125  客观                            +0.1645
   33    125  ,\,\                          -0.1601
   34    125  thus                          -0.1595
   35    124  固体                            -0.1570
   36    123  __                            +0.1511
   37    123  }B                            -0.1498
   38    123  #77469                        +0.1497
   39    122  产品质量                          +0.1605
   40    122  和小                            +0.1592
   41    122  Barn                          -0.1582
   42    122  这件事                           +0.1528
   43    121  赵                             +0.1566
   44    121  极限                            +0.1563
   45    121  pituitary                     -0.1489
   46    119  #1                            +0.1545
   47    118  Dto                           +0.1463
   48    117  服务于                           +0.1545
   49    117  阿拉伯                           -0.1518
   50    116  _tree                         +0.1575
   51    114  的花                            +0.1526
   52    113  fa                            -0.1687
   53    113  朔                             -0.1503
   54    110  的过程中                          -0.1508
   55    108  的小                            +0.1474
   56    107  javascript                    -0.1551
   57    107  gz                            -0.1608
   58    103  蹲                             +0.1505
   59    103  library                       -0.1482
   60    102  О                             -0.1678
