================================================================================
Model: M2
Layer: 59
Component: composed q_b[head] @ q_a (delta weights)
================================================================================

FREQUENCY — tokens in many heads' top-100
────────────────────────────────────────────────────────────────────────────────

 Rank   Freq  Token                       BestScore
--------------------------------------------------
    1    128  classic                       -0.1853
    2    128  blown                         -0.1769
    3    128  (true                         +0.1782
    4    128  Stand                         +0.1733
    5    128  影响力                           -0.1706
    6    128  革命                            +0.1729
    7    128  购物                            -0.1699
    8    128  Modal                         +0.1712
    9    128  采取                            -0.1679
   10    128  Psalm                         +0.1658
   11    128  country                       -0.1647
   12    128  用力                            +0.1708
   13    128  _keys                         +0.1620
   14    128  жи                            +0.1636
   15    128  柜                             -0.1596
   16    128  Douglas                       -0.1585
   17    128  Tra                           -0.1561
   18    128  {S                            +0.1575
   19    128  资质                            -0.1589
   20    128  perceived                     +0.1535
   21    128  fatal                         +0.1691
   22    128  Cathedral                     -0.1531
   23    128  轻微                            +0.1523
   24    128  西门                            +0.1515
   25    128  400                           +0.1610
   26    128  瞳孔                            +0.1509
   27    128  -_                            +0.1515
   28    128  ADS                           +0.1510
   29    128  Branch                        -0.1601
   30    128  Tamil                         -0.1478
   31    128  Те                            +0.1508
   32    128  対象                            -0.1471
   33    128  chlorine                      -0.1505
   34    128  parish                        -0.1483
   35    128  donated                       -0.1565
   36    127  >(↵                           +0.1617
   37    127  rv                            -0.1692
   38    127  街道                            -0.1535
   39    127  中华人民共和国                       +0.1570
   40    127  Jam                           -0.1561
   41    127  '('                           -0.1517
   42    127  饱和                            -0.1518
   43    127  ihnen                         +0.1552
   44    127  rug                           -0.1465
   45    127  �                             -0.1461
   46    127  明天                            -0.1481
   47    127  lad                           -0.1458
   48    127  Douglas                       -0.1428
   49    127  破产                            -0.1509
   50    127  kur                           -0.1442
   51    127  caution                       +0.1421
   52    126  lime                          +0.1465
   53    126  Ludwig                        +0.1407
   54    126  007                           -0.1462
   55    126  ֵ                             +0.1464
   56    126  在不同                           +0.1444
   57    126  Graham                        -0.1446
   58    126  "-                            +0.1430
   59    126  Section                       -0.1420
   60    125  ataset                        -0.1513
